mode,episode,episode_reward,max_height,unique_platforms,steps_survived,moving_avg_reward,moving_avg_max_height,epsilon,loss,terminal_reason
train,2465,-58.43,0.0,0,3600,1146.8816,0.0,0.182148,0.338792,timeout
train,2466,2966.43,0.0,37,3600,1191.2609,0.0,0.1817,0.343048,timeout
train,2467,4728.65,0.0,47,3600,1275.4844,0.0,0.181253,0.35456,timeout
train,2468,5175.27,0.0,49,3600,1366.1771,0.0,0.180805,0.378361,timeout
train,2469,2524.35,0.0,34,3600,1392.4992,0.0,0.180357,0.401934,timeout
train,2470,381.52,0.0,13,3600,1370.033,0.0,0.179909,0.407556,timeout
train,2471,2377.41,0.0,33,3600,1391.9325,0.0,0.179462,0.426505,timeout
train,2472,3288.29,0.0,39,3600,1432.2805,0.0,0.179014,0.418675,timeout
train,2473,-73.76,0.0,0,3600,1400.9047,0.0,0.178566,0.40632,timeout
train,2474,-27.47,0.0,3,3600,1371.7542,0.0,0.178118,0.405316,timeout
train,2475,2368.47,0.0,33,3600,1391.6885,0.0,0.177671,0.403614,timeout
eval,2475,-12.91,0.0,0.8,3600.0,,,0.177671,,evaluation
train,2476,-79.92,0.0,0,3600,1355.8771,0.0,0.177223,0.391285,timeout
train,2477,3631.36,0.0,41,3600,1352.8243,0.0,0.176775,0.408119,timeout
train,2478,-67.79,0.0,0,3600,1351.7445,0.0,0.176327,0.398333,timeout
train,2479,50.64,0.0,6,3600,1348.6519,0.0,0.17588,0.385641,timeout
train,2480,98.36,0.0,7,3600,1352.3721,0.0,0.175432,0.391744,timeout
train,2481,3625.8,0.0,41,3600,1425.1667,0.0,0.174984,0.387392,timeout
train,2482,-25.24,0.0,2,3600,1411.7805,0.0,0.174536,0.388135,timeout
train,2483,5184.0,0.0,49,3600,1490.2383,0.0,0.174089,0.384624,timeout
train,2484,5173.44,0.0,49,3600,1594.7119,0.0,0.173641,0.416912,timeout
train,2485,4930.63,0.0,48,3600,1637.0799,0.0,0.173193,0.44147,timeout
train,2486,4931.15,0.0,48,3600,1701.4151,0.0,0.172745,0.462227,timeout
train,2487,5175.78,0.0,49,3600,1802.5085,0.0,0.172298,0.451046,timeout
train,2488,4922.25,0.0,48,3600,1875.4425,0.0,0.17185,0.475603,timeout
train,2489,5181.19,0.0,49,3600,1979.8143,0.0,0.171402,0.480114,timeout
train,2490,5945.655,0.0,50,2685,2091.3806,0.0,0.171068,0.496821,win
train,2491,5176.16,0.0,49,3600,2195.7528,0.0,0.17062,0.52393,timeout
train,2492,1611.05,0.0,27,3600,2215.0338,0.0,0.170173,0.52412,timeout
train,2493,4924.82,0.0,48,3600,2309.3796,0.0,0.169725,0.524302,timeout
train,2494,5174.7,0.0,49,3600,2412.4852,0.0,0.169277,0.547727,timeout
train,2495,5176.13,0.0,49,3600,2517.506,0.0,0.168829,0.556394,timeout
train,2496,5184.85,0.0,49,3600,2622.7476,0.0,0.168382,0.561145,timeout
train,2497,5943.27,0.0,50,2818,2622.8031,0.0,0.168031,0.619112,win
train,2498,4730.34,0.0,47,3600,2717.6349,0.0,0.167583,0.609607,timeout
train,2499,4928.18,0.0,48,3600,2815.8897,0.0,0.167136,0.634645,timeout
train,2500,5174.94,0.0,49,3600,2908.0457,0.0,0.166688,0.61252,timeout
eval,2500,-17.908,0.0,1.0,3600.0,,,0.166688,,evaluation
train,2501,5178.21,0.0,49,3600,2977.2293,0.0,0.16624,0.635596,timeout
train,2502,3128.48,0.0,38,3600,3002.7865,0.0,0.165792,0.653529,timeout
train,2503,1277.32,0.0,24,3600,3029.9799,0.0,0.165345,0.650582,timeout
train,2504,3977.26,0.0,43,3600,3099.4351,0.0,0.164897,0.616594,timeout
train,2505,2374.62,0.0,33,3600,3132.5361,0.0,0.164449,0.653642,timeout
train,2506,659.55,0.0,17,3600,3101.0401,0.0,0.164001,0.639345,timeout
train,2507,4926.07,0.0,48,3600,3157.4407,0.0,0.163554,0.668654,timeout
train,2508,383.79,0.0,13,3600,3061.6961,0.0,0.163106,0.618322,timeout
train,2509,3972.79,0.0,43,3600,3050.5587,0.0,0.162658,0.62527,timeout
train,2510,5182.79,0.0,49,3600,3128.5745,0.0,0.16221,0.68242,timeout
train,2511,5188.01,0.0,49,3600,3204.5651,0.0,0.161763,0.667951,timeout
train,2512,-72.86,0.0,0,3600,3127.2931,0.0,0.161315,0.664652,timeout
train,2513,5185.82,0.0,49,3600,3232.6837,0.0,0.160867,0.674948,timeout
train,2514,3294.91,0.0,39,3600,3300.1847,0.0,0.160419,0.709151,timeout
train,2515,4930.96,0.0,48,3600,3399.9725,0.0,0.159972,0.697008,timeout
train,2516,5175.32,0.0,49,3600,3444.1503,0.0,0.159524,0.706167,timeout
train,2517,5179.42,0.0,49,3600,3453.1657,0.0,0.159076,0.749009,timeout
train,2518,5180.0,0.0,49,3600,3453.2603,0.0,0.158628,0.752267,timeout
train,2519,-2.68,0.0,4,3600,3402.7197,0.0,0.158181,0.751488,timeout
train,2520,2098.07,0.0,31,3600,3437.0507,0.0,0.157733,0.748368,timeout
train,2521,2525.21,0.0,34,3600,3440.0067,0.0,0.157285,0.750202,timeout
train,2522,5937.05,0.0,50,3280,3492.9819,0.0,0.156877,0.75435,win
train,2523,-37.89,0.0,2,3600,3493.6993,0.0,0.15643,0.763691,timeout
train,2524,1857.12,0.0,29,3600,3531.3911,0.0,0.155982,0.766988,timeout
train,2525,5172.45,0.0,49,3600,3587.4707,0.0,0.155534,0.780047,timeout
eval,2525,3975.502,0.0,38.4,3600.0,,,0.155534,,evaluation
train,2526,5182.46,0.0,49,3600,3692.7183,0.0,0.155086,0.808613,timeout
train,2527,4915.3,0.0,48,3600,3718.3971,0.0,0.154639,0.818614,timeout
train,2528,5170.45,0.0,49,3600,3823.1619,0.0,0.154191,0.841113,timeout
train,2529,5164.21,0.0,49,3600,3925.4333,0.0,0.153743,0.851079,timeout
train,2530,3461.51,0.0,40,3600,3992.6963,0.0,0.153295,0.886375,timeout
train,2531,1166.86,0.0,22,3600,3943.5175,0.0,0.152848,0.853119,timeout
train,2532,4348.21,0.0,45,3600,4030.9865,0.0,0.1524,0.863231,timeout
train,2533,5171.92,0.0,49,3600,4030.7449,0.0,0.151952,0.876249,timeout
train,2534,5172.21,0.0,49,3600,4030.7203,0.0,0.151504,0.901531,timeout
train,2535,5178.22,0.0,49,3600,4035.6721,0.0,0.151057,0.911548,timeout
train,2536,2379.43,0.0,33,3600,3984.6377,0.0,0.150609,0.902626,timeout
